date,title,link,Polarity,Sentiment_Type
2020-01-22,"332,000 Indonesian-made cars sent overseas in 2019",https://en.antaranews.com/news/140127/332000-indonesian-made-cars-sent-overseas-in-2019,0.0,NEUTRAL
2019-10-28,Toyota Indonesia set to produce battery electric vehicles in Karawang,https://en.antaranews.com/news/135436/toyota-indonesia-set-to-produce-battery-electric-vehicles-in-karawang,0.0,NEUTRAL
2019-06-27,Toyota ready to invest IDR28.3 trillion: minister,https://en.antaranews.com/news/127878/toyota-ready-to-invest-idr283-trillion-minister,0.2,POSITIVE
2019-06-12,Toyota Alphard/Vellfire with Toshiba’s advanced image recognition processor wins Japan’s highest award for preventive safety performance,https://en.antaranews.com/news/126955/toyota-alphardvellfire-with-toshiba%E2%80%99s-advanced-image-recognition-processor-wins-japan%E2%80%99s-highest-award-for-preventive-safety-performance,0.35,POSITIVE
2018-10-02,Toyota Astra raises car prices on high production costs,https://en.antaranews.com/news/119134/toyota-astra-raises-car-prices-on-high-production-costs,0.16,POSITIVE
2018-09-05,President Jokowi to invite Toyota to invest more in Indonesia,https://en.antaranews.com/news/118226/president-jokowi-to-invite-toyota-to-invest-more-in-indonesia,0.5,POSITIVE
2017-03-13,Presiden Jokowi receives Toyota Motor executives,https://en.antaranews.com/news/109907/presiden-jokowi-receives-toyota-motor-executives,0.0,NEUTRAL
2016-12-18,Toyoya Indonesia`s exports down 5%,https://en.antaranews.com/news/108464/toyoya-indonesias-exports-down-5,-0.15555555555555559,NEGATIVE
2016-02-19,Toyota ready to invest Rp5.4 trillion in Indonesia,https://en.antaranews.com/news/103225/toyota-ready-to-invest-rp54-trillion-in-indonesia,0.2,POSITIVE
2015-07-09,"Toyota Vitz Brand Movie ""#Humanness"" Released on Toyota's Official YouTube Channel, Timed with Launch of Vitz with Toyota Safety Sense C Collision Avoidance Support Package",https://en.antaranews.com/news/99465/toyota-vitz-brand-movie-humanness-released-on-toyotas-official-youtube-channel-timed-with-launch-of-vitz-with-toyota-safety-sense-c-collision-avoidance-support-package,0.0,NEUTRAL
2013-03-12,"Event Report from 83rd Geneva Motor Show: Compact and Refreshing Mobility Concept, 'TOYOTA i-ROAD'",https://en.antaranews.com/news/87739/event-report-from-83rd-geneva-motor-show-compact-and-refreshing-mobility-concept-toyota-i-road,0.5,POSITIVE
2012-12-24,"Kebakaran di Thailand, Toyota rugi 1,7 juta dolar AS",https://en.antaranews.com/news/86364/kebakaran-di-thailand-toyota-rugi-17-juta-dolar-as,0.0,NEUTRAL
2012-11-17,Two Malaysian tourists injured in road accident in Bandung,https://en.antaranews.com/news/85638/two-malaysian-tourists-injured-in-road-accident-in-bandung,0.0,NEUTRAL
2012-11-10,"Toyota group to bring small, medium businesses to Indonesia",https://en.antaranews.com/news/85526/toyota-group-to-bring-small-medium-businesses-to-indonesia,-0.25,NEGATIVE
2012-11-10,Toyota to ramp up investment in Indonesia to Rp26 trillion by 2020,https://en.antaranews.com/news/85522/toyota-to-ramp-up-investment-in-indonesia-to-rp26-trillion-by-2020,0.0,NEUTRAL
2012-09-26,Toyota cooperates with Pertamina to produce lubricating oils,https://en.antaranews.com/news/84712/toyota-cooperates-with-pertamina-to-produce-lubricating-oils,0.0,NEUTRAL
2012-09-20,Indonesian govt hopes to accelerate production of green cars,https://en.antaranews.com/news/84604/indonesian-govt-hopes-to-accelerate-production-of-green-cars,-0.2,NEGATIVE
2012-05-16,Toyota urged to produce hybrid car in Indonesia,https://en.antaranews.com/news/82142/toyota-urged-to-produce-hybrid-car-in-indonesia,0.0,NEUTRAL
2012-02-08,Toyota to increase investment in RI,https://en.antaranews.com/news/79728/toyota-to-increase-investment-in-ri,0.0,NEUTRAL
2011-12-18,Toyota indonesia sales to exceed Thailand`s,https://en.antaranews.com/news/78511/toyota-indonesia-sales-to-exceed-thailands,0.0,NEUTRAL
2011-08-02,Toyota dominates sales at Indonesia motor show,https://en.antaranews.com/news/74351/toyota-dominates-sales-at-indonesia-motor-show,0.0,NEUTRAL
2011-07-14,Auto 2000 sales reach 118 thousand units,https://en.antaranews.com/news/73736/auto-2000-sales-reach-118-thousand-units,0.0,NEUTRAL
2011-07-08,"Mitsubishi takes over Daihatsu, Toyota still leads",https://en.antaranews.com/news/73538/mitsubishi-takes-over-daihatsu-toyota-still-leads,0.0,NEUTRAL
2011-06-01,Toyota Astra Financial to offer Rp750 bln bonds,https://en.antaranews.com/news/72193/toyota-astra-financial-to-offer-rp750-bln-bonds,0.0,NEUTRAL
2011-04-22,Toyota to cut Thai output due to Japan quake,https://en.antaranews.com/news/70538/toyota-to-cut-thai-output-due-to-japan-quake,-0.125,NEGATIVE
2011-04-20,Toyota develops Indonesia into production base,https://en.antaranews.com/news/70448/toyota-develops-indonesia-into-production-base,-0.8,NEGATIVE
