date,title,link
2021-11-12,House handover ceremony conducted for fallen KRI Nanggala crews' kin,https://en.antaranews.com/news/199073/house-handover-ceremony-conducted-for-fallen-kri-nanggala-crews-kin
2021-10-19,Navy deploys personnel to help Bali quake victims,https://en.antaranews.com/news/194937/navy-deploys-personnel-to-help-bali-quake-victims
2021-09-20,COVID-19: Navy holds mass vaccination in North Jakarta,https://en.antaranews.com/news/190101/covid-19-navy-holds-mass-vaccination-in-north-jakarta
2021-09-16,"Police, navy personnel asked to protect Jakarta's contingent for PON",https://en.antaranews.com/news/189437/police-navy-personnel-asked-to-protect-jakartas-contingent-for-pon
2021-09-08,"Papua PON: IPDN, Navy dispatch team to expedite vaccinations",https://en.antaranews.com/news/188158/papua-pon-ipdn-navy-dispatch-team-to-expedite-vaccinations
2021-09-03,Indonesian Navy reiterates urgency of continental shelf bill,https://en.antaranews.com/news/187266/indonesian-navy-reiterates-urgency-of-continental-shelf-bill
2021-08-12,Indonesia supports blue economy development at 15th ANCM,https://en.antaranews.com/news/183490/indonesia-supports-blue-economy-development-at-15th-ancm
2021-08-05,"Navy vaccinates 400,000 coastal residents throughout Indonesia",https://en.antaranews.com/news/182438/navy-vaccinates-400000-coastal-residents-throughout-indonesia
2021-08-03,Navy rolls out vaccinations for Labuan Bajo residents,https://en.antaranews.com/news/181990/navy-rolls-out-vaccinations-for-labuan-bajo-residents
2021-07-29,Navy organizes vaccinations for maritime community in Serang,https://en.antaranews.com/news/181241/navy-organizes-vaccinations-for-maritime-community-in-serang
2021-07-28,Need global cooperation against bioterrorism: Vice Admiral Octavian,https://en.antaranews.com/news/181066/need-global-cooperation-against-bioterrorism-vice-admiral-octavian
2021-07-13,"President Jokowi inaugurates 700 TNI, Polri graduates",https://en.antaranews.com/news/179010/president-jokowi-inaugurates-700-tni-polri-graduates
2021-07-06,"Indonesian Navy vaccinates 1,000 residents in West Papua's Sorong",https://en.antaranews.com/news/178462/indonesian-navy-vaccinates-1000-residents-in-west-papuas-sorong
2021-07-01,Navy confirms inoculation of 600 Talise islanders in North Sulawesi,https://en.antaranews.com/news/178010/navy-confirms-inoculation-of-600-talise-islanders-in-north-sulawesi
2021-04-27,Navy's efforts ongoing in Bali's waters to recover KRI Nanggala-402,https://en.antaranews.com/news/173482/navys-efforts-ongoing-in-balis-waters-to-recover-kri-nanggala-402
2021-04-24,"Missing submarine oxygen could last 5 days, if power on: Navy",https://en.antaranews.com/news/173274/missing-submarine-oxygen-could-last-5-days-if-power-on-navy
2021-04-24,Parts of missing submarine KRI Nanggala 402 found: Navy,https://en.antaranews.com/news/173270/parts-of-missing-submarine-kri-nanggala-402-found-navy
2021-04-22,"TNI's five warships, helicopter search for submarine KRI Nanggala-402",https://en.antaranews.com/news/173078/tnis-five-warships-helicopter-search-for-submarine-kri-nanggala-402
2021-04-22,House deputy speaker OK with navy's decision to involve foreign navies,https://en.antaranews.com/news/173058/house-deputy-speaker-ok-with-navys-decision-to-involve-foreign-navies
2021-04-20,Detained drug traffickers plan to target N Sumatra's Tanjung Balai,https://en.antaranews.com/news/172902/detained-drug-traffickers-plan-to-target-n-sumatras-tanjung-balai
2021-04-20,"Navy hands over drug packages, suspects to BNN-North Sumatra office",https://en.antaranews.com/news/172886/navy-hands-over-drug-packages-suspects-to-bnn-north-sumatra-office
2021-04-20,Indonesian navy detains 5-GT vessel carrying 92.5 kg crystal meth,https://en.antaranews.com/news/172878/indonesian-navy-detains-5-gt-vessel-carrying-925-kg-crystal-meth
2021-04-05,Indonesian Navy gets two warships,https://en.antaranews.com/news/171742/indonesian-navy-gets-two-warships
2021-04-01,Indonesian navy conducts community service in West Papua's Soop Island,https://en.antaranews.com/news/171458/indonesian-navy-conducts-community-service-in-west-papuas-soop-island
2021-03-03,Navy helps Papuan children instil reading habit through mobile library,https://en.antaranews.com/news/169149/navy-helps-papuan-children-instil-reading-habit-through-mobile-library
2021-01-24,Illegal Taiwanese fishing ship comes under Indonesian Navy's net,https://en.antaranews.com/news/166600/illegal-taiwanese-fishing-ship-comes-under-indonesian-navys-net
2021-01-13,Navy suspends diving operation for retrieving Sriwijaya flight's CVR,https://en.antaranews.com/news/165764/navy-suspends-diving-operation-for-retrieving-sriwijaya-flights-cvr
